customer_id,dob,country,identity_proof,address_proof,income_proof,kyc_status,risk_score,risk_grp,pep,adverse_media,sanctions,onboard,created_at,,
1001,6/15/1985,USA,Passport,Bank Statement,Income Tax Return,Verified,12,Low,No,No,No,Yes,1/12/2023,,
1002,9/21/1990,UAE,Passport,Rental/Lease Agreement,Income Tax Return,Verified,33,Low,No,Yes,No,Yes,3/3/2023,,
1003,12/30/1978,Mexico,Passport,House Purchase Deed,Bank Statement,Pending,None,None,No,No,No,No,6/15/2023,,
1004,4/10/1995,China,Passport,Rental/Lease Agreement,Income Tax Return,Verified,18,Low,No,No,No,Yes,1/8/2024,,
1005,11/2/1988,Nigeria,Passport,Bank Statement,Income Tax Return,Verified,73,Low,No,No,No,Yes,2/22/2024,,
1006,8/11/1978,USA,Birth Certificate,Rental/Lease Agreement,Paystub,Verified,33,Low,No,No,No,Yes,6/5/2024,,
1007,4/24/1990,USA,Social Security Card,House Purchase Deed,Paystub,Verified,27,Low,No,No,No,Yes,6/6/2024,,
1008,6/13/1978,USA,Social Security Card,Credit Card Statement,Bank Statement,Verified,81,Medium,No,Yes,No,Yes,6/1/2024,,
1009,7/25/1978,USA,Birth Certificate,Rental/Lease Agreement,Bank Statement,Pending,None,None,No,No,No,No,6/20/2024,,
1010,10/23/1989,USA,Social Security Card,Rental/Lease Agreement,Paystub,Verified,70,Low,No,No,No,Yes,7/15/2023,,
1011,2/28/1986,USA,Birth Certificate,Credit Card Statement,Income Tax Return,Pending,None,None,No,No,No,No,5/23/2024,,
1012,3/19/1994,USA,Driver License,Rental/Lease Agreement,Bank Statement,Verified,56,Low,No,No,No,Yes,1/22/2024,,
1013,5/28/1980,USA,Driver License,Utility Bill,Bank Statement,Verified,5,Low,No,No,No,Yes,1/6/2023,,
1014,10/17/1987,Russia,Passport,Utility Bill,Paystub,Verified,99,High,No,No,No,Yes,6/5/2024,,
1015,9/27/1986,Russia,Passport,Credit Card Statement,Income Tax Return,Verified,17,Low,No,No,No,Yes,2/20/2024,,
1016,4/11/1989,UK,Passport,Rental/Lease Agreement,Paystub,Verified,55,Low,No,No,No,Yes,6/6/2024,,
1017,2/19/1981,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,54,Low,No,No,No,Yes,3/8/2024,,
1018,2/14/1984,USA,Driver License,Rental/Lease Agreement,Income Tax Return,Verified,9,Low,No,No,No,Yes,1/4/2024,,
1019,6/17/1987,USA,Passport,Credit Card Statement,Income Tax Return,Verified,78,Low,No,No,No,Yes,3/21/2024,,
1020,2/14/1994,USA,Social Security Card,Rental/Lease Agreement,Income Tax Return,Verified,59,Low,No,No,No,Yes,9/5/2023,,
1021,3/5/1983,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,43,Low,No,No,No,Yes,1/16/2023,,
